title,processed,type
"The Hunger Games (The Hunger Games, #1)",hunger game hunger game suzanne collins hunger game,book
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",harry potter sorcerer stone harry potter j k rowling mary grandpr harry potter philosopher stone,book
"Twilight (Twilight, #1)",twilight twilight stephenie meyer twilight,book
To Kill a Mockingbird,kill mockingbird harper lee kill mockingbird,book
The Great Gatsby,great gatsby f scott fitzgerald great gatsby,book
The Fault in Our Stars,fault star john green fault star,book
The Hobbit,hobbit j r r tolkien hobbit back,book
The Catcher in the Rye,catcher rye j salinger catcher rye,book
"Angels & Demons  (Robert Langdon, #1)",angel demon robert langdon dan brown angel demon,book
Pride and Prejudice,pride prejudice jane austen pride prejudice,book
The Kite Runner,kite runner khaled hosseini kite runner,book
"Divergent (Divergent, #1)",divergent divergent veronica roth divergent,book
1984,george orwell erich fromm cel l ster nineteen eighty four,book
Animal Farm,animal farm george orwell animal farm fairy story,book
The Diary of a Young Girl,diary young girl anne frank eleanor roosevelt b mooyaart doubleday het achterhuis dagboekbrieven juni augustus,book
"The Girl with the Dragon Tattoo (Millennium, #1)",girl dragon tattoo millennium stieg larsson reg keeland n som hatar kvinnor,book
"Catching Fire (The Hunger Games, #2)",catching fire hunger game suzanne collins catching fire,book
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",harry potter prisoner azkaban harry potter j k rowling mary grandpr rufus beck harry potter prisoner azkaban,book
"The Fellowship of the Ring (The Lord of the Rings, #1)",fellowship ring lord ring j r r tolkien fellowship ring,book
"Mockingjay (The Hunger Games, #3)",mockingjay hunger game suzanne collins mockingjay,book
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",harry potter order phoenix harry potter j k rowling mary grandpr harry potter order phoenix,book
The Lovely Bones,lovely bone alice sebold lovely bone,book
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",harry potter chamber secret harry potter j k rowling mary grandpr harry potter chamber secret,book
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",harry potter goblet fire harry potter j k rowling mary grandpr harry potter goblet fire,book
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",harry potter deathly hallows harry potter j k rowling mary grandpr harry potter deathly hallows,book
"The Da Vinci Code (Robert Langdon, #2)",da vinci code robert langdon dan brown da vinci code,book
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",harry potter half blood prince harry potter j k rowling mary grandpr harry potter half blood prince,book
Lord of the Flies,lord fly william golding lord fly,book
Romeo and Juliet,romeo juliet william shakespeare robert jackson excellent conceited tragedie romeo juliet,book
Gone Girl,gone girl gillian flynn gone girl,book
The Help,help kathryn stockett help,book
Of Mice and Men,mouse men john steinbeck mouse men,book
